"trait1"	"trait2"	"Mcor"	"Rcor"	"ratio"	"P"	"P_adjust"	"Z_var"
"1"	"C11-1_A"	"C11-1_A1B"	0.791312135237123	0.764471117744401	0.966080366649908	0.73	0.859890950961799	0.162385197765436
"2"	"C11-1_A"	"C11-1_C"	0.797592061939942	0.790835406098785	0.99152868218783	0.852	0.929032039626309	0.180835726731071
"3"	"C11-1_A"	"C11-2_A1B"	0.10675071244075	0.0367476182576721	0.344237686264325	0.842	0.924212446351931	0.193372572498317
"4"	"C11-1_A"	"C11-2_C"	0.747868408366037	0.882076226226814	1.17945378673502	0.386	0.616940170940171	0.170711922273741
"5"	"C11-1_A"	"C12-1_A"	0.995578582729018	0.994828431226798	0.999246517035186	0.68	0.829478852493512	0.165118679699347
"6"	"C11-1_A"	"C12-1_A1B"	0.756344833981243	0.775686305145401	1.02557229228677	0.998	0.998401863782789	0.163287749178724
"7"	"C11-1_A"	"C12-1_C"	0.796449556603716	0.781041173779196	0.980653661369058	0.802	0.898974025136964	0.180305602988836
"8"	"C11-1_A"	"C12-2_A1B"	0.104805066615003	-0.35038213229848	-3.34317932915966	0.304	0.542409356725146	0.193584330981757
"9"	"C11-1_A"	"C12-2_C"	0.715687158616859	0.893736119759309	1.24878043290109	0.236	0.472135741401127	0.170332811783886
"10"	"C11-1_A"	"C13_A"	-0.049343678721135	-0.22269834296213	4.51320916344129	0.698	0.840703511323499	0.174291219810491
"11"	"C11-1_A"	"C13_A1B"	-0.327479393797091	-0.226787472796172	0.692524406395755	0.704	0.844479514415781	0.174364572264398
"12"	"C11-1_A"	"C13_C"	-0.480819586007137	-0.247842759204745	0.515458950545051	0.498	0.708443190184049	0.181498605906109
"13"	"C11-1_A"	"C101_A1B"	0.548447255951167	0.741736228631906	1.35242946442593	0.458	0.676842114208022	0.17801909925836
"14"	"C11-1_A"	"C101_C"	0.839000872161067	0.891295018850645	1.06232907309724	0.718	0.853268962689627	0.173614310288453
"15"	"C11-1_A"	"C102_A1B"	0.463853687510822	0.647770567024002	1.39649761221072	0.556	0.748926961505693	0.180672435121245
"16"	"C11-1_A"	"C102_C"	0.826211993575144	0.922172967700132	1.1161457045785	0.404	0.6324	0.172220160493741
"17"	"C11-1_A"	"C103_A"	0.906891897038752	0.913839170964449	1.00766053147942	0.918	0.96110637529348	0.160427443241529
"18"	"C11-1_A"	"C103_A1B"	0.716291416699769	0.736857333536245	1.0287116617022	0.916	0.960400072345813	0.167821190036634
"19"	"C11-1_A"	"C103_C"	0.825624409479335	0.768659970848677	0.931004415595486	0.59	0.772177152317881	0.181959023536838
"20"	"C11-1_A"	"C104_A"	0.941181538264165	0.876892978287026	0.931693772812727	0.254	0.492179832869081	0.169215184951461
"21"	"C11-1_A"	"C104_A1B"	0.74528107871089	0.646488578150766	0.867442628852184	0.506	0.714447186814971	0.17191353329264
"22"	"C11-1_A"	"C104_C"	0.73502903953091	0.594323957256659	0.80857207714671	0.47	0.686640625	0.181343527771604
"23"	"C11-1_A"	"C105_A1B"	0.0720396336766281	0.345921079882798	4.80181619794973	0.488	0.700578504210005	0.175567145008929
"24"	"C11-1_A"	"C105_C"	-0.245839102475505	0.529246659953278	-2.15281724763867	0.042	0.178456388956755	0.18132268414794
"25"	"C11-1_A"	"C106_A1B"	0.0499871272634726	0.295471794403188	5.91095769208366	0.522	0.724335913189181	0.174383410350545
"26"	"C11-1_A"	"C106_C"	-0.20920187505682	0.610690397398725	-2.9191439954009	0.024	0.1298643434972	0.180136945773316
"27"	"C11-1_A"	"C107_A1B"	0.159619796935919	-0.333204089425055	-2.0874859874607	0.246	0.483684115319389	0.1896921889988
"28"	"C11-1_A"	"C107_C"	0.678943223818375	0.884537206574841	1.30281469133782	0.204	0.434083445491252	0.170986460495489
"29"	"C11-1_A"	"C108_A1B"	0.0340482735182048	0.51349540489829	15.081393323034	0.202	0.431623295245116	0.190795549767149
"30"	"C11-1_A"	"C108_C"	0.682016066808693	0.812606032925153	1.19147637786236	0.572	0.759594685400122	0.173386859562396
"31"	"C11-1_A"	"C109_A1B"	-0.127982002769797	0.690437296121522	-5.39479990294747	0.032	0.152762009332967	0.185030032812503
"32"	"C11-1_A"	"C109_C"	0.247606016432775	0.55646796782257	2.24739275660392	0.442	0.664260456273764	0.18276990355796
"33"	"C11-1_A"	"C110_A1B"	0.29231241000957	0.45600396084335	1.5599883728112	0.662	0.818894800483676	0.171243440104656
"34"	"C11-1_A"	"C110_C"	0.283736549595543	0.710601651044144	2.50444171558822	0.17	0.391378077839555	0.168960067652988
"35"	"C11-1_A"	"C111_A1B"	0.37047821180073	-0.142492504461061	-0.384617772171994	0.196	0.424593423019432	0.184807745402545
"36"	"C11-1_A"	"C111_C"	0.718456122888818	0.0945858874921428	0.131651585223918	0.058	0.212487465767853	0.182468850888471
"37"	"C11-1_A"	"C112_A1B"	0.749313019772039	0.580137430707932	0.774225744648645	0.344	0.580149728471683	0.160887026874466
"38"	"C11-1_A"	"C112_C"	0.784643980730343	0.54425063135274	0.693627485482211	0.256	0.494018641810919	0.181028679845714
"39"	"C11-1_A"	"C113_A1B"	0.350799986082703	0.314604298953865	0.896819587899571	0.866	0.935964576471319	0.179349169816687
"40"	"C11-1_A"	"C113_C"	0.378940041825578	0.523326938695461	1.3810283446803	0.672	0.824462222222222	0.175894631070298
"41"	"C11-1_A"	"C114_A1B"	0.370646505966466	0.0703943460259795	0.189923134018019	0.426	0.650959142430366	0.173517109857692
"42"	"C11-1_A"	"C114_C"	0.386761247124318	0.539052116245341	1.39375938063431	0.668	0.822397564774175	0.174204213663467
"43"	"C11-1_A"	"C115_A"	-0.0269529037450215	0.253313216678149	-9.39836460941386	0.46	0.678529262086514	0.179299968554802
