"trait1"	"trait2"	"Mcor"	"Rcor"	"ratio"	"P"	"P_adjust"
"1"	1	2	0.189707100404525	0.0105318551008366	0.055516399114102	0.078	0.104504854368932
"2"	1	3	-0.214331550398608	-0.0636993449476622	0.297200038114762	0.006	0.00935593220338983
"3"	1	4	-0.329972391266374	0.0434711234792348	-0.131741699093068	0	0
"4"	1	5	-0.556099070614365	-0.113059142731359	0.203307555623954	0	0
"5"	1	6	0.159967722193108	0.471193008504986	2.94555052760067	0	0
"6"	1	7	-0.165367203135413	-0.0711706221842573	0.430379306385065	0.032	0.046
"7"	1	8	0.463278336081147	-0.0205489420066851	-0.0443554995049148	0	0
"8"	1	9	-0.155075996464153	0.162934721932228	-1.05067660790361	0.002	0.00332530120481928
"9"	1	10	-0.257643889618027	-0.199554583436762	0.774536449254099	0	0
"10"	1	11	-0.129196541850007	0.0610584708434486	-0.472601433205045	0.07	0.0951724137931035
"11"	1	12	-0.555267526316278	-0.0325545882261875	0.0586286549875502	0	0
"12"	1	13	0.248110894015922	0.124242547928127	0.500754101995031	0.194	0.237973333333333
"13"	1	14	0.0435332085616546	-0.0447840126370318	-1.0287321820905	0.978	0.985138686131387
"14"	1	15	0.0769114235858932	-0.106840237738058	-1.38913353513397	0.784	0.824851711026616
"15"	1	16	0.220962588921301	0.0208504348456823	0.0943618326861135	0.052	0.0728527918781726
"16"	1	17	-0.211829587858474	-0.208813431754546	0.985761403142873	0	0
"17"	1	18	0.24842015687876	-0.0563780472560954	-0.226946347528515	0.088	0.115657142857143
"18"	1	19	-0.194251472355879	-0.184238688619623	0.948454528478876	0	0
"19"	1	20	-0.175242325467148	-0.0154354989416324	0.0880808840015426	0.074	0.100117647058824
"20"	1	21	0.0425823238936533	-0.0527179976087324	-1.2380253773935	0.946	0.970617100371747
"21"	1	22	-0.422477600019336	-0.137768066916421	0.326095553729039	0	0
"22"	1	23	-0.343239911099937	0.0494546733477007	-0.14408194312025	0	0
"23"	1	24	-0.15321165779411	-0.00208971750625966	0.0136394158012955	0.142	0.180608294930876
"24"	2	3	-0.220153988016695	0.0876249486718622	-0.39801663127364	0.004	0.00630857142857143
"25"	2	4	-0.0994299387431524	0.766245976452363	-7.70639091342227	0	0
"26"	2	5	-0.518297205964066	0.338031323232516	-0.652195920299735	0	0
"27"	2	6	-0.522425705026004	-0.458758858523582	0.878132247533162	0	0
"28"	2	7	-0.462842839689963	-0.703762463821666	1.52052144588233	0	0
"29"	2	8	-0.54858363526997	-0.92337085842588	1.68319067332635	0	0
"30"	2	9	0.0620135503386855	0.236134113992879	3.80778253628826	0.092	0.11977358490566
"31"	2	10	-0.71253514796097	-0.635964253969139	0.892537379789684	0	0
"32"	2	11	-0.165760552040172	-0.153580711979351	0.926521479864107	0.004	0.00630857142857143
"33"	2	12	-0.727448855524417	-0.729007259222167	1.00214228627335	0	0
"34"	2	13	0.0433223471569918	-0.464643767155165	-10.7252676193048	0	0
"35"	2	14	0.697588866295319	0.697993274635823	1.00057972304325	0.978	0.985138686131387
"36"	2	15	0.094782042369336	-0.156433534251235	-1.65045540632752	0.504	0.567771428571429
"37"	2	16	0.55424692445762	0.325640235799691	0.587536387537664	0.002	0.00332530120481928
"38"	2	17	0.515153752987389	0.680810333841295	1.32156726005248	0.012	0.0179027027027027
"39"	2	18	0.420125811864286	0.595031058814946	1.41631635574717	0.022	0.0322978723404255
"40"	2	19	0.559827127545592	0.670067589943928	1.1969187575487	0.082	0.109333333333333
"41"	2	20	-0.468546382260749	-0.72941123910953	1.5567535397245	0	0
"42"	2	21	-0.426142345034287	7.17687448071376e-05	-0.000168414957216615	0	0
"43"	2	22	-0.603394230540379	-0.229315384645754	0.38004238860618	0	0
"44"	2	23	0.121946115368932	0.569546875155827	4.67047985442372	0	0
"45"	2	24	0.110635086133368	0.383719104156743	3.46833104729705	0.004	0.00630857142857143
"46"	3	4	-0.184855821072945	-0.0758316580912272	0.410220558114336	0.018	0.0265668449197861
"47"	3	5	0.586885693045826	0.810558727059274	1.38111856646671	0	0
"48"	3	6	0.03882064743143	0.342354100198721	8.81886632116147	0	0
"49"	3	7	-0.189368317184028	-0.48467575365419	2.55943423304112	0	0
"50"	3	8	0.244176522359996	-0.07589088233555	-0.310803354892827	0.102	0.131551401869159
"51"	3	9	-0.147888548883359	0.156061275297593	-1.05526273992099	0.004	0.00630857142857143
"52"	3	10	0.520333569948928	0.00568695772841447	0.0109294461415831	0	0
"53"	3	11	0.579636835374608	0.207198944627405	0.357463383936765	0	0
"54"	3	12	0.197008889350198	-0.19204943522659	-0.974826241902251	0.996	0.998
"55"	3	13	-0.46011668728939	-0.615554158355502	1.33782185119565	0	0
"56"	3	14	-0.373848266033763	-0.189758983551183	0.507582890685509	0	0
"57"	3	15	-0.459199035169547	-0.612623156978309	1.3341124655284	0	0
"58"	3	16	-0.161653573527789	0.308445537580266	-1.90806507303869	0	0
"59"	3	17	-0.299081306997492	-0.119998002000734	0.401222006167507	0	0
"60"	3	18	-0.298755904760206	0.195360304864609	-0.653912782147062	0	0
"61"	3	19	-0.294945978891884	-0.103888274402785	0.352228142906354	0	0
"62"	3	20	0.339155839389818	0.167716027938739	0.494510217605217	0.088	0.115657142857143
"63"	3	21	0.690887159742478	0.716228416886719	1.03667929963221	0.646	0.704727272727273
"64"	3	22	0.411292545990462	-0.320212430280974	-0.778551504039172	0.344	0.397255230125523
"65"	3	23	0.276442965257106	0.50088454854904	1.81189110051396	0.012	0.0179027027027027
